food_item,count
Salami (3 slices),6
Tzatziki Sauce (2 tbsp),6
Olive Oil (1 tbsp drizzle),6
Chimichurri (1 tbsp),6
Lemonade (1 cup),3
Potato Salad (1/2 cup),3
Horchata (1 cup),3
Lime (juice of 1),3
Collard Greens (1 cup cooked),3
Figs (2 medium),3
Chicken & Rice Soup (1 can),3
Tabouli (1/2 cup),3
Espresso (1 oz in drink),3
Crushed Tomatoes (1/2 cup sauce),3
Hummus Wrap (large),3
Cheese Danish,3
Soyrizo (2 oz),3
Olives (Kalamata 5 large),3
Tiramisu (1 slice),3
Veggie Straws (1 oz),3
Cereal (Frosted Flakes 1 cup),3
Salsa (1/4 cup),3
Celery (1/4 stalk minced),3
Coconut (shredded 1/4 cup),3
Ricotta (filling 1 oz),3
Gochugaru (1 tsp),3
Mango (1 cup slices),3
Celery Sticks (1 cup),3
Aioli (Garlic 1 tbsp),3
Lentil Soup (1 cup Middle Eastern),3
Cumin (1 tsp),3
Quinoa (1 cup cooked),3
Prosciutto (1 slice),3
Breadstick (1 large),3
Carrot (1/4 minced in sauce),3
Corn Nuts (1 oz),3
Mint Tea (1 cup),3
Raita (2 tbsp),3
Ceviche (1 cup fish),3
Powdered Sugar (1 tsp),3
Dim Sum (Siu Mai 3 pcs),3
Sugar (1 tsp for cereal),3
Waffle Cone (1 small),3
Feta Cheese (1 oz),3
Mozzarella (1 slice),3
Peanut Butter (2 tbsp),3
Flan (1 slice),3
Thai Iced Tea (1 glass),3
Cardamom (in coffee),3
Garlic Sauce (Toum 1 tbsp),3
Sweet & Sour Chicken (1 cup),3
Bell Pepper (1 medium red),3
Dates (2 medium Medjool),3
Eggo Waffle (2 waffles),3
Chocolate Chip Cookie (1 large),3
Beets (1/2 cup roasted),3
Chicken Wrap (with tortilla),3
Italian Sausage (1 link),3
Salsa (2 tbsp),3
Wasabi (1 tsp),3
Grilled Cheese Sandwich,3
Pesto (1/4 cup),3
Hummus (1/4 cup),3
Chicken Salad Sandwich,3
Rice Krispies (1.5 cups),3
White Wine Sauce (1/4 cup),3
Garlic Bread (1 slice),3
Vodka (1.5 oz),3
Protein Bar,3
Turkey Sausage (1 patty),3
Philly Cheesesteak (6 inch),3
Turkish Coffee (1 small cup),3
Pulled Pork Sandwich,3
Baklava (1 piece),3
Baba Ganoush (1/4 cup),3
Ricotta Cheese (1/4 cup),3
Cereal Bar (Fruit),3
Pork Belly (1 oz in soup),3
Naan Bread (1 piece),3
Protein Shake (Whey),3
Parsley (1/4 cup in tabouli),3
Macaroni & Cheese (1 cup),3
Crackers (5 whole wheat),3
Split Pea Soup (1 cup),3
French Onion Soup (1 cup),3
Congee (1 cup plain),3
Potato Chips (1 oz),3
Artichoke (1 medium steamed),3
Veal Parmesan (1 serving),3
Sesame Oil (1 tsp),3
Tuna (Canned 3oz in water),3
Calamari (fried 3oz),3
Polenta (1 cup creamy),3
Oat Milk (1 cup),3
Candied Fruit (1 tbsp),3
Orange Sauce (1/4 cup for duck),3
Mint (1 tbsp in tabouli),3
Quinoa Salad (1 cup),3
Lemon Slice (garnish),3
Wild Rice (1 cup cooked),3
Gremolata (1 tbsp),3
Ketchup (1 tbsp),3
Chicken Liver (2 oz cooked),3
Limoncello (1.5 oz shot),3
Pear,3
Green Beans (1/2 cup w/ pasta),3
Trofie Pasta (1 cup cooked),3
Pizza (Margherita 1 slice),3
Spring Roll (Veg 2 rolls),3
Cucumber Salad (1/2 cup),3
Swiss Cheese (1 slice),3
Whiskey (1.5 oz shot),3
Turkey Sandwich (on wheat),3
Lasagna (1 serving meat),3
Coconut Water (1 cup),3
Sumac (1/2 tsp dressing),3
Garlic (1/2 clove in pesto),3
Gazpacho (1 cup),3
Gochujang (1 tbsp),3
Pasta Salad (1 cup),3
Orange Slice (garnish),3
Club Soda (2 oz),3
Hummus (2 tbsp),3
Seitan (3oz),3
Corn (1 cup),3
Nutella (1 tbsp),3
Poached Egg (1 large),3
Croutons (1/4 cup),3
Bruschetta (2 pcs),3
Kiwifruit (1 medium),3
Sweet Tea (16 oz),3
Mozzarella (1 oz melted),3
Manakeesh (Za'atar 1 small),3
Olive Oil (1 tbsp dressing),3
Mashed Potatoes (side),3
Paella (1.5 cups seafood),3
Pad Thai (Chicken 1.5 cups),3
Butter (1 tbsp),3
Saffron (pinch in risotto),3
Mate (1 cup),3
Asparagus (6 spears roasted),3
Spinach Artichoke Dip (1/4 cup),3
Pisco Sour (1 drink),3
Cherries (1 cup),3
Grits (1 cup cooked),3
Chocolate Donut (1 medium),3
Arugula (2 cups),3
Celery (1 stalk),3
Campari & Soda (1 drink),3
French Fries (as side),3
Acai Bowl (1 serving),3
Crab Cakes (2 medium),3
Shepherd's Pie (1 serving),3
Brie Cheese (1 oz),3
Polenta (grilled 1 slice),3
Balsamic Glaze (1 tbsp),3
Passion Fruit (1 fruit),3
Turmeric (1 tsp),3
Basil (fresh garnish),3
Fiorentina Steak (3oz portion),3
Pomegranate Molasses (1 tsp),3
Olive Oil (1 tbsp),3
Pecans (1 oz),3
Berry Coulis (1 tbsp),3
Kombucha (16 oz),3
Hot Chocolate (1 cup),3
Provoleta (1 oz grilled cheese),3
Kefir (Plain 1 cup),3
Stuffed Grape Leaves (3 pcs),3
Black Pepper (1/2 tsp),3
Baguette (slice),3
Cobb Salad,3
Century Egg (1 egg),3
Skirt Steak (4oz grilled),3
Salt (1/4 tsp),3
Soy Sauce (1 tbsp for dipping),3
Graham Cracker (1 large rectangle),3
White Rice (1 cup cooked),3
Ants on a Log (4 pcs),3
Chicken Alfredo (1.5 cups),3
Tahini (1 tbsp),3
Bobotie (1 serving),3
Mayonnaise (1 tbsp for dipping),3
Biryani (Chicken 1.5 cups),3
Chocolate (Hershey's bar 1 segment),3
Cacio e Pepe (1.5 cups),3
French Fries (medium),3
Dulce de Leche (1 tbsp filling),3
Pancetta (0.5 oz in sauce),3
Risotto (Mushroom 1 cup),3
Mashed Potatoes (1 cup),3
Oregano (1 tsp),3
Shish Tawook (2 skewers),3
Blue Cheese Dressing (2 tbsp),3
Apple Pie (1 slice),3
Carbonara (1.5 cups),3
Sweet Vermouth (1 oz),3
Coffee (black),3
Jicama (1 cup sticks),3
Pecorino Cheese (1 tbsp),3
Maple Syrup (2 tbsp),3
Lemon Wedge (for calamari),3
Steamed Broccoli (1 cup),3
French Bread (2 slices),3
Stale Bread (1/2 cup in soup),3
Panettone (1 slice),3
Red Cabbage (1 cup raw),3
Chicken Parm Sandwich,3
Pretzels (1 oz),3
Greek Yogurt (plain 1 cup),3
Lemon Juice (1 tbsp dressing),3
Balsamic Glaze (1 tsp),3
Tagliatelle al Ragù (Bolognese),3
Pita Bread (1 whole wheat),3
Gorgonzola Cheese (1 oz),3
Chicken Tikka Masala (1.5 cups),3
Pistachio (garnish),3
Peanut Butter & Jelly Sandwich,3
Tofu Scramble,3
Fried Okra (1 cup),3
Jalapeno (1 tbsp sliced),3
Red Wine (5 oz glass),3
Pine Nuts (1/2 tbsp filling),3
Eggs Benedict (1 serving),3
Sauerkraut (1/4 cup side),3
Kimchi (1/2 cup),3
Focaccia (1 square),3
Gnocchi alla Sorrentina (1.5 cups),3
Fattoush Salad (1.5 cups),3
Grapes (1 cup),3
Puff Pastry (1 oz wrapper),3
Beef Pho (1 large bowl),3
Pepperoncini (2 peppers),3
Fruit Cocktail (canned 1 cup),3
Sausage Link (1 cooked),3
Danish (Cheese 1 medium),3
Water Cracker (5 crackers),3
Olive Oil (1 tbsp on bread),3
Guacamole (1/4 cup),3
Chicken Kebab (2 skewers),3
Pickled Cucumber (1/4 cup),3
Sweet Chili Sauce (2 tbsp),3
Chicken Breast (4oz roasted),3
Cocktail Sauce (2 tbsp),3
Muffin (Blueberry 1 large),3
Side Salad (light dressing),3
Pretzel Bun (1 medium),3
Mushroom (White 1 cup sliced),3
Corn Tortilla (1 medium),3
Za'atar (1 tbsp),3
Onions (sautéed 1/4 cup),3
Edamame (in pod 1 cup),3
Egg Drop Soup (1 cup),3
Ribollita (1.5 cups soup),3
Soy Milk (Original 1 cup),3
Seaweed Salad (1/2 cup),3
Pickled Turnips (2 tbsp),3
Media Luna (1 pastry),3
Cheesy Grits (1 cup),3
Potato (1/2 w/ pasta),3
Thai Basil (garnish),3
Pita Crisps (1 oz),3
Chocolate Sauce (1 tbsp dipping),3
Hollandaise Sauce (1 tbsp),3
Coarse Salt (garnish),3
Matcha Latte (12 oz),3
Pesto Sauce (1/4 cup),3
Labneh (2 tbsp),3
Choripan (1 sandwich),3
Oyster (1 medium raw),3
Lassi (Mango 1 cup),3
Chili Powder (1 tsp),3
Pork Bun (1 steamed),3
Chocolate Pudding (1/2 cup),3
Raisins (1 tbsp),3
Rosemary (1 tsp topping),3
Yellow Rice (1 cup),3
Vitello Tonnato (1 serving),3
Canadian Bacon (2 slices),3
Bun (hamburger),3
Cannellini Beans (1/2 cup in soup),3
Vodka Soda (1 drink),3
Lentil Soup (1 can),3
Ham (3oz deli sliced),3
Apple Cider (1 cup),3
Gin (1 oz),3
Cashews (1 oz roasted),3
Grilled Chicken Salad,3
Saltimbocca (1 serving),3
Beef Steak (6oz sirloin),3
Biscuits and Gravy (1 serving),3
Lobster Bisque (1 cup),3
Mandarin Orange (1 medium),3
Egg Yolk (1 large in sauce),3
Grapefruit (1/2 medium),3
Potato Leek Soup (1 cup),3
Black Beans (1/2 cup),3
Spicy Mustard (1 tbsp),3
Bok Choy (1 cup steamed),3
Guava,3
Cabbage Slaw (side),3
Shawarma (Chicken 1 wrap),3
Ragù (filling 1 tbsp),3
Coffee Liqueur (1 oz),3
Angostura Bitters (dash),3
Rice (1/4 cup filling),3
Shrimp Scampi (1 cup),3
Balsamic Vinaigrette (2 tbsp),3
Pine Nuts (1 tbsp),3
Mixed Nuts (1/4 cup),3
Coriander (1 tsp),3
Dark Chocolate (1 oz 70%),3
Beer (12 oz light),3
Gin & Tonic (1 drink),3
Chicken Noodle Soup (1 can),3
Marshmallow (1 large),3
Tomato (1/4 cup side),3
Beef Stroganoff (1.5 cups),3
Tomato Sauce (1/2 cup),3
Pizza (1 slice pepperoni),3
Garlic (1 clove),3
Pani Puri (6 pcs),3
Tuna Salad (1/2 cup),3
Olives (5 side),3
Espresso Martini (1 drink),3
Sweet Potato (1 medium baked),3
Panna Cotta (1 serving),3
Vegetable Soup (1 can),3
Cream Cheese (2 tbsp),3
Hot Sauce (1 tsp Tabasco),3
Sriracha (1 tsp),3
Angel Hair Pasta (1 cup),3
Coffee Beans (3 garnish),3
Rosemary (garnish),3
Green Onion (1 tbsp garnish),3
Honey (1 tbsp),3
Cod (4oz baked),3
Ice Cream (1/2 cup vanilla),3
Mussels (3oz steamed),3
Cranberry Juice (1 cup),3
Lime Wedge (garnish),3
Bagel (plain),3
Pine Nuts (1/2 tbsp),3
Pork Chop (4oz grilled),3
Garlic Sauce (1 tbsp),3
Granola (1/4 cup topping),3
Prosciutto (1 slice wrapper),3
Clam Chowder (1 cup),3
Caprese Salad,3
Corn on the Cob (1 large),3
Lobster (3oz steamed),3
Chocolate Milk (1 cup),3
Tahini Sauce (1 tbsp),3
Mozzarella (filling 0.5 oz),3
Jasmine Rice (1 cup cooked),3
Ham & Cheese Croissant,3
Soda (1 can Coke),3
Silken Tofu (3oz in soup),3
Root Beer (1 can),3
Iced Tea (Sweetened 16oz),3
White Beans (Tuscan style 1/2 cup),3
Mackerel (3oz cooked),3
Oatmeal (1 cup cooked),3
Tortilla Chips (1 oz),3
Campari (1 oz),3
Pecorino Romano (1/4 cup),3
Cucumber Slices (1 cup),3
Jelly (1 tbsp grape),3
Gelato (Pistachio 1/2 cup),3
Pickled Radish (1/4 cup),3
Mint Chutney (1 tbsp),3
Caponata (1/2 cup),3
Garlic (1 clove in beans),3
Baked Potato (medium),3
Kimchi Jjigae (1 bowl),3
Cheesecake (1 slice),3
Diet Soda (1 can),3
Refried Beans (1/2 cup),3
Trail Mix (1/4 cup),3
Chicken Milanesa (1 serving),3
Sashimi (Salmon 3 pcs),3
Egg White (in drink),3
Chorizo (1 oz in paella),3
Macaroni Salad (1 cup),3
Tempeh (3oz),3
Churros (2 sticks),3
Saffron (pinch),3
Frosting (Vanilla 2 tbsp),3
Chicken McNuggets (6 pcs),3
Arancini (1 large ball),3
Blackberries (1 cup),3
Macadamia Nuts (1 oz),3
Olive Oil (1 tsp garnish),3
Lime Juice (1 tbsp),3
Cupcake (Vanilla 1 medium),3
Chickpeas (1/2 cup canned),3
Orange Juice (1 cup),3
Spaghetti Bolognese,3
Pine Nuts (1 tbsp in pesto),3
Orange Peel (garnish),3
Red Onion (1/4 cup in ceviche),3
Capers (1 tbsp),3
Tofu Stir-fry,3
Asparagus (1 cup steamed),3
Brown Rice (1 cup cooked),3
Green Curry Paste (1 tbsp),3
Sea Salt (coarse 1/4 tsp),3
Shrimp Cocktail (4 large shrimp),3
Coconut Shrimp (5 pcs),3
Ground Lamb (1 oz filling),3
Breadcrumbs (coating),3
T-Bone Steak (6oz),3
Crepe (1 plain),3
Risotto alla Milanese (1 cup),3
Bubble Tea (16 oz milk tea),3
Papaya (1 cup cubes),3
Sauerkraut (1/2 cup),3
Peanut Sauce (2 tbsp),3
Gummy Bears (10 pcs),3
Kale (1 cup in soup),3
Negroni (1 drink),3
Waffles (2 homemade),3
Prosecco (3 oz),3
Chutney (Mango 1 tbsp),3
Coconut Milk (1/4 cup canned),3
Lemon Bar (1 square),3
Duck (3oz roasted),3
Apple,3
Ketchup (1 packet),3
Hash Browns (1 cup),3
Sage (in beans),3
Malva Pudding (1 slice),3
Bean Sprouts (1/4 cup garnish),3
Sage (2 leaves),3
Pate (Mushroom 2 tbsp),3
Biscotti (1 cookie),3
Parmigiano-Reggiano (1 tbsp),3
Basil (2 tbsp fresh),3
Samosa (1 piece vegetable),3
White Bread (1 slice),3
Turkey Burger (1 patty),3
Green Peas (1/2 cup),3
Cinnamon Sugar (1 tsp),3
Halibut (4oz baked),3
Cilantro (2 tbsp garnish),3
Onion (1/2 cup raw chopped),3
Supplì (1 piece fried rice ball),3
Custard (1/4 cup),3
Raspberries (1 cup),3
Egg Noodles (1 cup cooked),3
Tartar Sauce (2 tbsp),3
Ground Beef (2 oz in sauce),3
Tapioca Pearls (1/4 cup boba),3
Quesadilla (Cheese 1 medium),3
Pita Bread (White 1 large),3
Soy Sauce (1 tbsp in stir-fry),3
Fish Tacos (2 tacos),3
Burger (cheeseburger),3
S'more (1 serving),3
Pork Floss (1 tbsp),3
Maple Syrup (1 tbsp),3
Turkey Bacon (2 slices),3
Cottage Cheese (1/2 cup),3
Hollandaise Sauce (2 tbsp),3
Salmon (4oz grilled),3
Tuna Sauce (2 tbsp),3
Hard-Boiled Egg (1 large),3
Ginger Ale (1 can),3
Cucumber (1/4 cup side),3
Lettuce (Romaine 2 cups),3
Osso Buco (1 serving),3
Beef Jerky (1 oz),3
Pita Bread (1 white),3
Almond Milk (Unsweetened 1 cup),3
Fresh Mozzarella (1 oz),3
Guanciale (1 oz),3
Raisins (1/4 cup),3
Capers (garnish),3
Mashed Cauliflower (1 cup),3
Empanada (Beef 1 medium),3
Lomo Saltado (1.5 cups),3
French Fries (side),3
Kibbeh (1 piece fried),3
Cheddar Cheese (1 oz),3
Pickle (1 whole dill),3
Sour Cream (1 tbsp),3
Aji Amarillo Paste (1 tsp),3
Orange,3
Veggie Burger (1 patty),3
Beef Burrito (large),3
Tuna Melt,3
Blueberries (1/2 cup),3
Rye Bread (1 slice),3
Bell Peppers & Onions (sautéed),3
Tamarind Chutney (1 tbsp),3
Aperol Spritz (1 drink),3
Caesar Salad (with chicken),3
Chicken Thigh (1 roasted),3
Scrambled Eggs (2 large),3
Coconut (shredded garnish),3
Shrimp (3oz steamed),3
Whole Wheat Toast (1 slice),3
Meatball Sub (6 inch),3
Green Beans (1 cup),3
Simple Syrup (1/2 oz),3
Chocolate Croissant,3
Manicotti (2 shells cheese),3
Cottage Cheese (1 cup low fat),3
Olive (garnish),3
String Cheese (1 stick),3
Creamed Spinach (1/2 cup),3
Bacon (2 slices cooked),3
Vegetable Broth (1 cup),3
Bulgur (1 tbsp shell),3
Smoothie (Fruit & Yogurt),3
Walnuts (1 tbsp chopped),3
Alfajores (1 cookie),3
Sour Cream (2 tbsp),3
Saltine Crackers (5 crackers),3
Gnocchi (1 cup),3
Lemon Juice (1 tsp in soup),3
Italian Dressing (2 tbsp),3
Rye Crispbread (2 slices),3
Cannoli (1 medium),3
Black Pepper (1 tsp),3
Carrot Sticks (1 cup),3
Cheese Whiz (2 tbsp),3
Bulgur (1/4 cup in tabouli),3
Sake (3 oz),3
Bread Roll (hoagie),3
Fish Sauce (1 tsp),3
Amaretti Cookie (2 cookies),3
Turkey Chili (1 cup),3
Coconut Flakes (1 tbsp topping),3
Pistachios (1 oz shelled),3
Tilapia (4oz baked),3
Caramel Sauce (1 tbsp),3
Pickle (1 spear dill),3
Eggplant (1/2 cup in caponata),3
Avocado (1/2 fruit),3
Black Pepper (1/4 tsp),3
Chai Latte (12 oz),3
Ramen (Instant 1 pack),3
English Muffin (whole wheat),3
Bison Burger (1 patty),3
Fried Pita (1/2 pita in salad),3
Club Sandwich,3
Popcorn (3 cups air-popped),3
Mayonnaise (1 tbsp),3
Shredded Cheese (Cheddar 1/4 cup),3
Coffee (with cream/sugar),3
Pancakes (2 medium),3
Avocado Toast (1 slice),3
Banana,3
Beef Tacos (2 hard shell),3
Beef Wellington (1 slice),3
Chicken Piccata (1 serving),3
Gyro (1 sandwich),3
Spaghetti (side),3
Espresso (for dipping),3
Tofu (4oz firm),3
Provolone Cheese (1 slice),3
Reuben Sandwich,3
Falafel (3 pieces),3
Onion Rings (6 rings),3
White Wine (5 oz glass),3
Melted Butter (for lobster),3
Mocha Latte (16oz),3
Honey (1 tsp drizzle),3
Onion (1/8 minced in sauce),3
Goat Cheese (1 oz),3
Nutritional Yeast (1 tbsp),3
Croutons (Garlic 1/4 cup),3
Pico de Gallo (1/4 cup),3
Kombucha (1 cup),3
Collard Greens (with ham hock),3
Tomato Soup (1 can),3
Tomato (1 medium sliced),3
Blue Cheese (1 oz),3
Hoisin Sauce (1 tbsp),3
Espresso (double shot),3
Scallops (3oz seared),3
Mignonette Sauce (1 tbsp),3
Almonds (1 oz),3
Watermelon (1 cup diced),3
Corn Flakes (1 cup),3
BBQ Sauce (2 tbsp),3
